title,body
ميركاتو,"يسعى نادي مانشستر سيتي للحفاظ على برناردو سيلفا لاعب الفريق وتمديد تعاقده لموسم آخر.
برناردو سيلفا البالغ من العمر 30 عاما هو أحد المرشحين لمغادرة سيتي عقب نهاية الموسم الجاري.
وكشف موقع givemesport عن رغبة مانشستر سيتي في تمديد التعاقد لمدة موسم آخر.
وأشار التقرير إلى اهتمام فريقي بنفيكا وبرشلونة في ضم اللاعب البرتغالي.
وأوضح التقرير أن برناردو سيلفا الذي يحصل على راتب أسبوعي بقيمة 300 جنيه إسترليني لم يحسم موقفه من العروض المقدمة.
وتدرج برناردو في صفوف بنفيكا قبل الاحتراف في صفوف موناكو عام 2014.
وانتقل الدولي البرتغالي من موناكو إلى مانشستر سيتي في صيف 2017.
وارتدى برناردو سيلفا قميص الفريق السماوي في 396 مباراة وسجل 70 هدفا.
وحقق مع سيتي العديد من البطولات، أبرزها 6 ألقاب دوري إنجليزي ولقب دوري أبطال أوروبا 2023 ولقب كأس العالم للأندية 2023."
الكرة الأوروبية,"يدرس نادي بورتو قطع إعارة لاعبه تياجو ديالو وإعادته إلى يوفنتوس.
وحسب صحيفة أبولا البرتغالية فإن بورتو بصدد قطع إعارة ديالو لعدم التزامه.
وأفادت الصحيفة فإن ديالو رفقة 3 لاعبين آخرين كسروا قواعد النادي بالخروج ليلا.
ولم تكن هذه الواقعة هي الأولى للمدافع البرتغالي، فإن ديالو سافر إلى مدينة مدريد ليلة رأس السنة وعاد إلى تدريبات بورتو في اليوم التالي متأخرا.
وتعاقد بورتو مع اللاعب البالغ من العمر 25 عاما في فترة الانتقالات الصيفية الماضية على سبيل الإعارة من يوفنتوس.
وانضم ديالو إلى يوفنتوس في فترة الانتقالات الشتوية قبل الماضية مقابل 5 ملايين يورو قادما من ليل.
وانتقل ديالو إلى فريق ميلان تحت 19 عاما قادما من سبورتينج لشبونة البرتغالي مقابل مليون يورو في يناير 2019.
واستمر ديالو مع الروسونيري لمدة 6 أشهر فقط ورحل إلى ليل مقابل 4 ملايين يورو في صيف 2019.
وتوج ديالو من قبل ببطولة الدوري الفرنسي موسم 2020-2021 وبالسوبر الفرنسي 2021-2022."
الكرة الأوروبية,"اجتمع مسؤولو نادي اتحاد جدة مع نظيره برشلونة لبحث إمكانية ضم فرينكي دي يونج خلال فترة الانتقالات الصيفية المقبلة.
وينتهي عقد اللاعب الهولندي مع النادي الكتالوني في صيف 2026.
وحسب صحيفة سبورت الإسبانية فإن الاتحاد عقد اجتماعا مع برشلونة في الأيام الماضية من أجل التفاوض بشأن ضم اللاعب البالغ من العمر 27 عاما.
ووفقا لجريدة اليوم السعودية فإن لوران بلان المدير الفني للاتحاد يرغب في دعم خط وسط الفريق.
وحقق اتحاد جدة فوزا مثيرا على الاتفاق بثلاثة أهداف مقابل هدفين في مباراة أقيمت على ملعب الملك عبد الله بالجولة 29 من الدوري السعودي.
الفوز رفع رصيد الاتحاد للنقطة 68 في صدارة جدول الترتيب ليوسع الفارق مع الهلال صاحب المركز الثاني إلى 6 نقاط.
وسيلعب الاتحاد مباراته القبلة ضد النصر يوم الأربعاء 7 مايو، بينما يلتقي الاتفاق مع الخليج يوم 2 مايو."
سعودي في الجول,"يقود الكولومبي جون دوران هجوم النصر خلال المواجهة المرتقبة ضد ضمك.
ويحل النصر ضيفا على ضمك ضمن الجولة 29 من مسابقة الدوري السعودي.
فيما يغيب كريستيانو رونالدو عن صفوف النصر أمام ضمك تجنا لإرهاق النجم البرتغالي، إذ سيلعب النصر ضد يوكوهاما مارينوس الياباني بعد 3 أيام في ربع نهائي أطال آسيا للنخبة.
في المقابل يتواجد النجم المصري طارق حامد على مقاعد بدلاء ضمك في مواجهة النصر.
خط الدفاع: سلطان الغنام - محمد سيماكان - إيمريك لابورت - سالم النجدي
خط الوسط: مارسيلو بروزوفيتش - عبد الله الخيبري - أيمن يحيى
ويحتل نادي النصر المركز الثالث في جدول ترتيب الدوري السعودي برصيد 57 نقطة.
فيما يتواجد ضمك في المركز الـ11 بجدول الترتيب برصيد 31 نقطة."
الكرة الأوروبية,"يواجه نادي سانت إيتيان خطر خصم النقاط من رصيده في الدوري الفرنسي بعد إصابة مساعد حكم مباراته ضد أولمبيك ليون بمقذوف خلال لقاء الفريقين، حسب تقارير فرنسية.
وأوضحت جريدة ليكيب أن نادي سانت إيتيان قد يتعرض لخضم 3 نقاط من رصيده بسبب شغب جماهيره.
ومن المتوقع أن تفتح رابطة الدوري الفرنسي تحقيقاً رسميا، قد يسفر عن فرض عقوبات على سانت إيتيان منها اللعب بدون جماهير أو خصم نقاط.
وتعرض سانت إيتيان لعقوبات كثيرة في المواسم الأخيرة بسبب شغب جماهيره.
وكان أحد لاعبي ليون يستعد لتنفيذ رمية تماس قبل نهاية الشوط الأول بدقيقة، لكن الحكم المساعد وضع يده على رأسه بعدما أصيب بمقذوف من المدرجات.
وحاول الطاقم الطبي لليون علاج مساعد الحكم قبل أن يغادر الفريقان وطاقم التحكيم أرض الملعب نحو غرف خلع الملابس.
وتوقفت المباراة لأكثر من 40 دقيقة بعد إصابة الحكم المساعد.
وألقت الشرطة الفرنسية القبض على مشجع تسبب في إصابة مساعد حكم مباراة سانت إيتيان ضد أولمبيك ليون بمقذوف من المدرجات.
وأفاد نادي سانت إيتيان في بيان: ""بعد توقف المباراة اتخذ النادي على الفور جميع الإجراءات اللازمة لكشف الحقائق بدقة. وقد مكّن هذا التحقيق سريعًا من تحديد هوية الجاني المزعوم لإطلاق المقذوف"".
وأضاف ""استنادا إلى معلومات قدّمها النادي، وبالتعاون مع السلطات، أُلقي القبض على الشخص فور مغادرته الملعب. وهو الآن قيد الاحتجاز لدى الشرطة. وسيقدّم نادي سانت إيتيان شكوى ضده""
وشدد ""سيتخذ النادي أشدّ العقوبات من جانبه، حتى لا يفلت هذا العمل المنفرد من العقاب"".
وأتم البيان ""يُؤكّد سانت إتيان التزامه التام بمكافحة جميع أشكال العنف، وسيواصل العمل بحزم مع جميع الجهات المعنية لتمكين اتخاذ أشد التدابير ضد مرتكبي هذا النوع من الأعمال"".
وكان سانت إيتيان متقدما بهدف لوكاس ستاسين قبل توقف المباراة بسبب إصابة الحكم المساعد.
مع استئناف اللقاء ضاعف ستاسين النتيجة في الدقيقة 66.
ولم يكن الهدف الذي سجله تانر تسمان بعدها بـ10 دقائق كافيا لإنقاذ ليون من الخسارة."
الدوري المصري,"قرر الجهاز الفني للفريق الأول لكرة القدم بنادي الزمالك بقيادة البرتغالي جوزيه بيسيرو، خوض مباراة ودية أمام فريق بهتيم يوم الجمعة المقبل، في إطار الاستعداد لمباراة المصري المقبلة في مسابقة الدوري الممتاز.
وسيخوض الزمالك المباراة الودية في الثالثة والنصف عصر يوم الجمعة المقبل، على ملعب النادي بمقر القلعة البيضاء لتجهيز جميع اللاعبين للمباراة المرتقبة أمام المصري.
ومن المقرر أن تقام المباراة على 4 أشوط كي يحصل جميع اللاعبين على فرصة المشاركة في التجربة الودية.
ويستعد فريق الزمالك لمواجهة المصري، المقرر لها يوم 1 مايو المقبل على ستاد الجيش ببرج العرب، في الجولة الثالثة للمرحلة النهائية لمسابقة الدوري المصري الممتاز.
ويحتل الزمالك المركز الثالث بجدول ترتيب الدوري المصري برصيد 38 نقطة بفارق 6 نقاط عن بيراميدز المتصدر ونقطتين عن الأهلي صاحب المركز الثاني."
كرة طائرة,"واصل الأهلي انتصاراته في بطولة إفريقيا للكرة الطائرة المقامة في ليبيا، وذلك بعد الفوز على نيمو ستارز الأوغندي بنتيجة 3-0 في الأشواط.
وجاءت نتائج الأشواط للأهلي 25-18 و25-11 و25-14 على التوالي.
ويقع الأهلي في المجموعة الثانية رفقة فرق الفتح المغربي والحرس الجمهوري الكونغولي ووحدة الخدمات العامة الكينية وكاستل الجزائري ونيمو ستارز الأوغندي.
ويتبقى للأهلي تحقيق الفوز في مباراة واحدة لضمان التأهل لدور الـ16 من البطولة.
وتستضيف ليبيا منافسات بطولة إفريقيا لرجال الكرة الطائرة خلال الفترة من 18 إلى 30 أبريل الجاري.
ويدخل الأهلي البطولة من أجل الدفاع عن لقبه، بعدما توج باللقب الموسم الماضي على حساب مولودية بو سالم.
وجاءت قائمة الأهلي تحت قيادة الإسباني فرناندو مونزو:
حسام يوسف - عبد الحليم عبو - مصطفى جابر - زياد أسامة - سيف عابد - محمد عسران - أحمد عزب - عبد الرحمن الحسيني - إسلام محمد - يوندر جارسيا - محمد رمضان - خالد عادل - محمد عثمان - عبد الرحمن سعودي.
ويعتبر الأهلي البطل التاريخي لبطولة إفريقيا برصيد 16 لقبا وبفارق 10 ألقاب عن الصفاقسي التونسي أقرب منافسيه.
ونجح الأهلي في تحقيق اللقب في آخر 5 مشاركات شارك بهم في البطولة بينما غاب الفريق عن نسختي 2021 و2023."
الدوري المصري,"يوافق اليوم ذكرى مرور 14 يوما على اندلاع أزمة مباراة القمة الشهيرة، وانسحاب الأهلي من مباراة الزمالك، أو اعتذاره عن عدم لعبها، أو امتناعه، أو رفضه، أو طلبه للتأجيل.. أيا يكن.
يوافق اليوم أيضا ذكرى مرور بضع ساعات على اكتشافنا أن الكرة المعروضة بشكل جمالي قبل أن يأخذها الحكم لبداية المباراة، يتم تثبيتها على غطاء زجاجة مياه بلاستيكية، في مشهد يعكس دقة توجيه الإنفاق، أو ترشيد الإنفاق، أو طريقة غزل الشاطرة إن وجدت، أو شيء ما لا يصح ذكره هو الأم الشرعية للاختراع، ولكن صاحب المثل الأصلي فضل تسميته بـ ""الحاجة"" تفاديا لخوض العوائق في طريق الانتشار المجتمعي.
وفي الحقيقة، فإن غطاء الزجاجة يبدو مفتاحا مثاليا لتلخيص كل ما يحدث في الكرة المصرية.. هذه أشهر خدعة في كتاب الكرة المصرية بالمناسبة، فهذه المقولة ستجدها صالحة للاستخدام على أي لقطة لم تشاهد مثلها إلا هنا، سواء كان انسحاب الأهلي الحالي، أو أي من انسحابات الزمالك السابقة، أو انسحاب يوسف أوباما بعد إهدار ركلة الجزاء مع الاتحاد، أو ذلك الحكم الذي اتهمه سمير محمود عثمان بنزع ""فيشة الفار"" من أجل الشاي.. أو حتى رجل الشاي شخصيا.. الحاج المُفترى عليه دائما أبدا عامر حسين.
سنعود للحاج عما قريب، ولكنه ليس مشكلتنا، فما حدث لم يسبق حدوثه في أزهى عصوره، هذا الرجل الذي لم يجعلنا نحمل هم مواجهة الأهلي والزمالك في الجولات المبكرة أبدا، فهي دائما في النهايات، وإن تظاهر بالخطأ مرة ووضعها مبكرا، فأنت تعلم أنه سيؤجلها لاحقا.
سنوات وسنوات، ورغم مهامه الجسام في الجمع بين 47 وظيفة على أقل تقدير، لم يورطنا عامر حسين أبدا في فضيحة تضاهي الإعلان عن مباراة للأهلي والزمالك قبل إقامتها بـ 5 أيام. حين يعلن هذا الرجل عن موعد مبدئي لمباراة قمة، فأنت تعلم جيدا أنها لن تُلعب قبل 6 أشهر من ذلك التاريخ.. بما لا يدع مجالا لأي من طرفيها للاعتراض بحجة المفاجأة.
ولكن في عهد الحاج -بصفته الوظيفية لحين أداء الفريضة- طه عزت، صار أمرا طبيعيا أن تعلن رابطة الأندية يوم 8 مارس، أن الأهلي والزمالك سيلتقيان يوم 13 مارس، في وجود لائحة تلزم بالإبلاغ بطلب الحكام الأجانب قبلها بـ 14 يوما، على فرض استحالة الإعلان عن إقامة مباراة ""في بطولة دوري"" قبل إقامتها بمدة أقل من هذه.
بطبيعة الحال، نعرف جميعا أن هذا العبث لا يمكن أن يتحمله طه عزت منفردا، لكن ضع نفسك مكاني.. إنه وبوضوح شديد للغاية، الهدف الأسهل في كل هذه القائمة.. من في القائمة؟ سؤال جميل سأفترض أنك طرحته وأشكرك عليه.. بسم الله.
رغم أن البداية من نقطة البداية تبدو أسهل دائما، سنبدأ هذه المرة من النقطة التي نقف فيها على وجه التحديد: شكوى النادي الأهلي أمام اللجنة الأولمبية.. من هنا يمكننا العودة إلى البداية.
تتناول المصادر رد ""رابطة الأندية المحترفة"" على اللجنة الأولمبية، مؤكدة سلامة كل إجراءاتها المتبعة في المباراة وبالتالي العقوبات التي صدرت ضد الأهلي بحكم انسحابه.
وفقا لهذا الرد، فإن اللوائح تتضمن طلب الحكام بخطاب رسمي من أحد طرفي المباراة وهو ما لم يفعله أي من طرفي المباراة، وأن الأهلي كان يمكنه الاحتجاج على العقوبات خلال 48 -وفقا للوائح أيضا- وهو ما لم يفعله كذلك.. حسنا.. ماذا تتضمن اللوائح أيضا؟
لنرى، اللوائح تتضمن مهلة مدتها 14 يوما قبل المباراة لاستقدام الحكام الأجانب، وهو ما لم توفره الرابطة من الأساس في أيامها الـ 5 بين إعلان الجدول المفاجئ الذي تدعي الرابطة أن خط سيره كان معلنا منذ البداية، ولا يوجد مسؤول واحد في أي من الأندية على علم بهذا المعلن من البداية، بل لا يوجد حتى صحفي واحد كان على علم بهذه الأسطورة.
ماذا تتضمن اللوائح أيضا؟ حل رابطة الأندية بنهاية كل موسم وإجراء انتخابات جديدة لإدارة الموسم الجديد.. هل حدث هذا؟ للأمانة الإعلام لم يتغاضَ عن هذه النقطة، فقد ظل يسأل ثروت سويلم نفس السؤال طيلة 3 أشهر بين نهايات الموسم الماضي والإعلان عن الشكل الجديد للدوري الحالي، وأنت تعلم مدى سهولة استخراج إجابة صريحة من سويلم تشعل فتيل أزمة ما فيضطر لتوضيحها أو نفيها أو الالتفاف حولها في اليوم التالي، وأنا بكل صراحة لن أعيد الاستماع لمداخلات سيادة اللواء لأعثر على تلك الإجابة. الأعمال الكاملة متاحة عبر يوتيوب والمداخلة الواحدة مدتها 25 دقيقة.. حظ سعيد.
هذا هو أساس ""رابطة الأندية المحترفة"" لهذا الموسم.. لدينا رابطة لا وجود قانوني لها سوى ""تفويض موقع من الأندية في بداية الموسم"" لن يصمد أمام أولى درجات التقاضي بمحامٍ من كلية الألسن، مما قد ينزع عنها صفة الرابطة في أي لحظة، تضم أندية لا تنفك عن شكواها والشكوى أمامها، وبينما نقف في هذا الوضع بالفعل.. هل نحن بحاجة حقا للنقاش في صفة ""المحترفة""؟
ربما لا يبدو من المنطق أن تتحدث رابطة تضرب اللائحة في شرعية وجودها من الأساس عن ""تطبيقها للوائح""، ولكن هل يبدو الموقف بأكمله غريبا عن مشهدنا الرياضي؟ عوار قانوني نعرفه جميعا، ونرتضيه جميعا بشكل أو بآخر، حتى ينتج عنه ضرر ما، فيقرر الطرف المتضرر اللعب على وتره بشكل أو بآخر، بينما يحدد الطرف المضاد موقفه من هذا العوار بناء على موقعه من الصراع.. أهلا بك في عالم القطبين.
دورهما قادم لا محالة، ولكن لنمر سريعا على اتحاد الكرة.. الذي ربما لم يمنحنا دليلا واضحا على ما سنفتريه عليه الآن، ولكن، هل تعتقد أن ""الكيان الحاكم للكرة المصرية"" يشعر بالراحة في ظل وجود أهم منتجاتها ومكتسباتها ""الدوري المصري"" تحت سيطرة جهة لا تتبع سلطته؟
أعِد الشريط سريعا.. رابطة الأندية أكدت بعد ساعات من مهزلة إعلان موعد القمة قبل إقامتها بـ 5 أيام، أنها طالبت اتحاد الكرة بحكام أجانب لمباريات الأهلي والزمالك وبيراميدز ضد بعضهم البعض.. اتحاد الكرة في المطلق لا تصله أي خطابات، وإن وصلته فإنه لا يرد عليها، وإن اضطر للرد عليها فإنه سيتعذر بكل ما أنزلته البيروقراطية من سلاطين، وهذا بالضبط ما حدث.
المفارقة أن اتحاد الكرة معذور نسبيا في هذه الأزمة، فالوقت -ولأول مرة تقريبا- كان ضيقا بالفعل، والرجل الأول في اتحاد الكرة هاني أبو ريدة كان منشغلا للغاية في حدث أكثر أهمية من الكرة المصرية: انتخابات كاف ومنصبه في فيفا. صدقا هذه ليست سخرية، فهذا الأمر أهم من أيا كانت تلك الرياضة التي نمارسها.. بينما الرجل المكلف بهذه المسائل الثانوية والتي -تخيل- لن يمكننا ذكر اسمه لأننا لا نملك دليلا -رسميا- على ذلك.. قرر التمسك بلائحة الأيام الـ 14، وهذا لأن الرابطة تدير الدوري، والاتحاد يدير الحكام الذين يشكو منهم كل أندية الدوري.. أصلا.
الأهلي -ومعه كل الحق- شعر أنه يتم ضغطه في صراع لا ناقة له فيه ولا جمل بين الجهتين، ولكن هل يعني ذلك أنه كان محقا في قرار الانسحاب؟ أو بالأحرى.. هل يستحق الحكم الأجنبي التضحية بالمنافسة على الدوري؟ الأهلي معروف جيدا بحساب خطواته التالية دائما.. فهل حسبها جيدا هذه المرة؟
من منظور المشجع العادي.. ليس ذنبي أن أحجز تذكرة لأشاهد القمة فلا يحضر أحد الطرفين، ورد قيمة التذكرة وإن كانت خطوة تحترم فهي لا تكفي لرد كل المصاعب المالية والمعنوية التي تكبدها هؤلاء المشجعين.
من منظور نفس المشجع الذي لم يحضر المباراة، وبالنظر للحالة الحالية للفريقين: هل يخشى الأهلي مواجهة الزمالك بحكم مصري أو أجنبي أو حتى بلا حكم؟ هل كان هناك ما يمنع خوض المباراة والانتصار فيها -الذي يبدو قريبا على الورق حتى رغم التعادلات الأخيرة- ثم متابعة المعركة على أرض صلبة في التوقف الدولي لضمان عدم تكرار هذه المهزلة فيما تبقى؟
لماذا تأخر الأهلي في طلب الحكم الأجنبي وأجل مطالباته العلنية منتظرا إعلان الرابطة الهزلي عن طلبها من اتحاد الكرة قبل إقامة المباراة بيومين ليتمسك به؟ نعرف أنها مباراة الزمالك.. هل كان ينتظر من الزمالك أن يطلب هو الحكم الأجنبي ويتحمل الفاتورة الدولارية في ظروفه الاقتصادية الحالية؟ مستحيل.
في النهاية تمسك الأهلي بموقفه.. وسيضطر الجميع لخوض اللعبة كما هي، فما الذي يرتكن الأهلي إليه في هذا الموقف؟ الخطوة الأولى والأهم وبعيدا عن المعارك داخل الرابطة واتحاد الكرة التي لن تسفر عن شيء على الأرجح هي الدفع بالعوار اللوائحي، وهو المبرر الوحيد على وجه التحديد للجوء إلى اللجنة الأولمبية، والتي -للتوضيح- لا تملك حق تحديد العقوبات أو إصدار قرار بإعادة مباراة القمة، فكل ما ستفعله هو الفصل: هل كان ما حدث سليما من الناحية الإجرائية أم لا؟
من يمكنه الفصل في ذلك؟ وإلى أي درجة؟ فتطبيق الرابطة للائحة الانسحاب سليم 100%، ولكن تعارض الإعلان قبل 5 أيام مع لائحة الحكام الأخرى ذات الـ 14 يوما ماذا نصنع به؟ ولو تتبعت اللجنة الأولمبية الإجراءات اللوائحية واستمرت في العودة بالشريط للخلف، يمكنها أن تجد أن الدوري بأكمله ليس قانونيا، بناء على عدم قانونية الرابطة ""المفوضة بالمخالفة للوائح"".
ما الذي يستند إليه الأهلي حقا ويدفعه للتلويح بعدم استكمال الدوري بأكمله؟ حسنا.. اللائحة تقول صراحة إن الأهلي لو نفذ تهديده يجب معاقبته بالهبوط إلى الدرجة الرابعة.. وأنا من موقعي المتواضع هذا.. سأمنحك ما تطلبه لو أخبرتني باسم رجل واحد في المنظومة الرياضية يجرؤ على فعلها في الدوري الذي ألغى الهبوط بأكمله لأجل الاتحاد السكندري.
وللأمانة، الرابطة في ورطة أكثر فداحة من حقيقة وضعها القانوني، فهي ببساطة لا يمكنها التراجع عن احتساب النتيجة للزمالك وخصم النقاط من الأهلي بعدما فعلت نفس الشيء بالزمالك في العام الماضي ولم تتراجع أمام مطالبه الشرعية هي الأخرى في ظاهرها، دون أن تُوصَم بأنها رابطة الأهلي، ودون أن يُوصَم الأهلي نفسه للأبد بأنه نادي الدولة كما يحلو للبعض مناداته.
غياب يهدد عوائد الدوري بأكمله ويهدد حتى عوائد المسابقات الإفريقية. هذه ورقة ضغط في منتهى القوة والخطورة.. ولا يفترض أن تتواجد في يد أي من الأندية سواء كان على حق أو على باطل. والحل؟ يسهل قوله، ويستحيل تطبيقه.. لوائح سليمة، ووضع قانوني سليم، ومنظومة سليمة تقف على أرض صلبة وتحقق أقصى حد ممكن من العدالة لجميع الأطراف.. حينها فقط لن يمثل الأهلي تهديدا وجوديا وإن استمر كأقوى الأندية وأكثرها شعبية وعوائد وأعزها نفرا.. وإلا ستسود للأبد سياسة أخذ ما يمكنني أخذه بأي طريقة يمكنني أخذه بها.
صدق فلا يحق لك ألا تصدق.. الزمالك هو الآخر ليس منزها عن ذلك. لا تخبرني أن النادي الأكثر إصدارا للبيانات ضد الحكام المصريين في آخر موسمين صار يحبهم فجأة، ولكن هل يمكنك لومه على رفض هدية الأهلي؟ في أي ""يوتوبيا"" ظن الناس أن الزمالك سيلتزم بموقفه إن كان هذا يعني التضامن من الأهلي في المطلق؟ فما بالك لو كان هذا التضامن يعني التفريط في 3 نقاط مجانية وخصم 3 آخرين من الأهلي وعودة للمنافسة لم تكن حتى في الأحلام؟ لماذا نلوم الزمالك على أخذ الدنيا غلابا في نفس الموقف الذي يحاول الأهلي واتحاد الكرة والرابطة أخذ الدنيا بنفس الطريقة؟
والآن هل تذكرون عامر حسين.. هذا الرجل الذي ارتضى الزمالك إبعاده مكسبا له من موقعة طواحين الهواء الشهيرة في الموسم الماضي، هل كان حقا هو المشكلة؟ أعِد النظر في كل هذه المهزلة خطوة تلو الأخرى، ثم أخبرنا ماذا استفادت منظومة الكرة المصرية من ابتعاد عامر حسين عن المشهد سوى انخفاض معدلات استهلاك الشاي في مكاتبها."
الكرة الأوروبية,"عاد داني كارباخال لاعب ريال مدريد للتدرب بالكرة مرة أخرى.
وتعرض الظهير الأيمن للإصابة في الركبة في الدقائق الأخيرة أمام فياريال في الجولة التاسعة من الدوري الإسباني، بعد التحامه مع يريمي بينو لاعب فياريال.
وحسب برنامج الشيرينجيتو فإن اللاعب الإسباني عاد للتدرب بالكرة بعد تعافيه من إصابة بالرباط الصليبي.
ولعب كاراباخال هذا الموسم 11 مباراة مع ريال مدريد في مختلف المسابقات.
ويستعد ريال مدريد لمواجهة خيتافي غدا الأربعاء بالجولة 33 من الدوري الإسباني على ملعب كوليسيوم.
ويحتل ريال مدريد المركز الثاني في جدول ترتيب الدوري الإسباني برصيد 69 نقطة."
ميركاتو,"ذكرت شبكة سكاي سبورت ألمانيا أن نادي باير ليفركوزن يتواصل مع مانشستر سيتي بشكل مباشر من أجل ضم الجناح جيمس ماكاتي.
وأوضح التقرير أن الناديان يدرسان كل الحلول الممكنة لإتمام الصفقة.
وأضاف التقرير أن هناك أندية أخرى من الدوري الإنجليزي والدوري الإيطالي أبدت اهتمامها بضم اللاعب.
لم يتوصل ماكاتي إلى اتفاق شفهي مع أي نادٍ حتى الآن، حسب التقرير.
ولفت التقرير إلى أن بيب جوارديولا مدرب سيتي يرغب في الاحتفاظ بماكاتي، لكن اللاعب يريد الرحيل لرغبته في لعب دقائق أكثر.
الجناح الشاب يشارك في بعض المباريات مع بيب جوارديولا هذا الموسم، فقد لعب 24 مباراة وسجل 7 أهداف.
وحاول ليفركوزن ضم اللاعب في يناير الماضي على سبيل الإعارة مع خيار الشراء، لكن الصفقة لم تتم."
